filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_checksumfail_min,filehealth_niblockid_min,filehealth_fbias0510_min,filehealth_fbias1020_min,filehealth_fbias2030_min,filehealth_fbias30_min,filehealth_totimp_N,filehealth_checksumfail_N,filehealth_niblockid_N,filehealth_fbias0510_N,filehealth_fbias1020_N,filehealth_fbias2030_N,filehealth_fbias30_N
Lup001 back post .cwa,FALSE,FALSE,TRUE,1.00517250594998,1.00349638088577,1.01908706736365,0.0167362337962201,0.0308153305694611,0.116049744469869,0.000645185133288274,0.00161719760502579,-0.00273178623384715,0.08472,0.00382,37256,169,"recalibration done, no problems detected",26.4664933194154,not extracted,0,0,0,3062.07600514889,,,,,0,0,160202,,,,
Lup003 back post.cwa,FALSE,FALSE,TRUE,0.992728340153351,1.01564022579907,1.01179343911169,-0.000631680963917736,0.0233130992029204,0.00193617332107473,-0.000614926530384001,0.00445102837143606,-0.0019763083152946,0.02308,0.00412,40566,177,"recalibration done, no problems detected",30.2600689330544,not extracted,0, , , , , , , , , , , , , , 
Lup005 back post.cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.02778, ,56885,219.877777777778,recalibration not done because not enough points on all sides of the sphere,28.0979261363636,not extracted,0,60.0390539566676,0,60.0390539566676,,,,,2,0,2,,,,
Lup007 back post.cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.091, ,68092,239.794444444444,recalibration not done because not enough points on all sides of the sphere,27.5408511434511,not extracted,0,60.038326617082,0,2423.55733739535,,,,,2,0,123540,,,,
Lup008 back post.cwa,FALSE,FALSE,TRUE,0.979364715276297,1.01457203271285,1.01287283618543,-6.8177826540289e-05,0.0263900073233964,-0.0133578108487843,4.50037856062544e-06,0.005087197041842,-0.00247584953972255,0.02209,0.00425,39408,154.988888888889,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",28.4451123993559,not extracted,0,60.0394639094671,0,60.0394639094671,,,,,2,0,2,,,,
Lup009 back post.cwa,FALSE,FALSE,TRUE,0.987889151677663,1.00927861330275,1.03441188308073,0.00479384249140212,-0.0105004297563435,0.0718499585906329,0.000558420856068993,0.00199306371166403,-0.00120450882300093,0.04409,0.00354,47016,168.983333333333,"recalibration done, no problems detected",18.9998370950888,not extracted,0,0,0,0.0771888256072998,,,,,0,0,4,,,,
Lup010 back post.cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.02135, ,67011,239,recalibration not done because not enough points on all sides of the sphere,27.8535852818372,not extracted,0, , , , , , , , , , , , , , 
Lup012 back  post .cwa,FALSE,FALSE,TRUE,0.998172863864687,1.00148509633824,1.01301554571648,0.005891249825047,0.0460655244603633,0.00606549746416347,-0.000767910689410119,0.000770957453126751,-0.00207682375168109,0.03157,0.00461,37843,172,"recalibration done, no problems detected",27.2507241127349,not extracted,0,0,0,44.1160323222478,,,,,0,0,2300,,,,
Lup014 back post.cwa,FALSE,FALSE,TRUE,1.00086889849262,0.994185342711216,1.01558641671588,-0.00523807693397951,0.0111379154970038,0.0248766082470921,0.000675143197612151,0.000313239440386165,-0.00249927708432982,0.03331,0.00261,39210,172,"recalibration done, no problems detected",25.8332159707724,not extracted,0,0,0,135.999358820915,,,,,0,0,7102,,,,
Lup015 back post.cwa,FALSE,FALSE,TRUE,1.00107331544722,1.02713694825094,1.03108989179532,0.0135462412988861,0.0268650189167256,0.0347916035804514,-0.000981061049421369,0.0019581427076513,-0.00226790734864045,0.03739,0.00333,33500,171,"recalibration done, no problems detected",25.4829700417537,not extracted,0,0,0,48.1902306636174,,,,,0,0,2518,,,,
Lup016 back post.cwa,FALSE,FALSE,FALSE,0.99985368378668,1.00137506088433,1.03414627798063,0.010999578501071,0.0294757662032852,0.0420940000925276,0,0,0,0.0283,0.00608,42933,170,"recalibration done, but temperature values not used",26.517905602537,not extracted,0, , , , , , , , , , , , , , 
Lup017 back post.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.04912, ,67878,238.997222222222,recalibration not done because not enough points on all sides of the sphere,27.0608508350731,not extracted,0, , , , , , , , , , , , , , 
Lup018 back post.cwa,FALSE,FALSE,FALSE,0.96090566210301,1.01165214563268,1.01225648129548,-0.00190783286455269,0.00604430282889582,0.0453610830225654,0,0,0,0.03578,0.00605,44071,170,"recalibration done, but temperature values not used",29.4403814126394,not extracted,0,0,0,0.460273432731628,,,,,0,0,24,,,,
Lup019 back Post.cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.04575, ,60389,239,recalibration not done because not enough points on all sides of the sphere,27.54949217119,not extracted,0, , , , , , , , , , , , , , 
Lup020 back post.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.07253, ,54563,197.983333333333,recalibration not done because not enough points on all sides of the sphere,26.3225717528373,not extracted,0, , , , , , , , , , , , , , 
Lup022 back post.cwa,FALSE,FALSE,TRUE,0.995043895838761,1.01931372258436,1.01150272858655,0.00871251283768147,0.0433195800283911,-0.0251722986134614,0.00226092372582804,0.00478940846043674,-0.00322609365680053,0.03395,0.0051,42539,172,"recalibration done, no problems detected",29.366367954071,not extracted,0, , , , , , , , , , , , , , 
Lup023 post back.cwa,FALSE,FALSE,TRUE,0.998376888990813,1.00841744774446,1.01842390138721,0.00431671755822091,0.0284150963066172,-0.0106416191474771,0.000415958563084191,0.0039493324976423,-0.00121732862353021,0.02695,0.00464,41627,173,"recalibration done, no problems detected",29.1642383246073,not extracted,0, , , , , , , , , , , , , , 
Lup025 back post.cwa,FALSE,FALSE,FALSE,0.992024532027384,1.0454567114031,1.02469332912325,-0.00211573182386544,0.0135846357763583,0.00246035685669099,0,0,0,0.02345,0.00833,46356,169,"recalibration done, but temperature values not used",31.2046363431151,not extracted,0, , , , , , , , , , , , , , 
Lup026 post back.cwa,FALSE,FALSE,FALSE,0.994792259477105,1.0058278076108,1.0236851430785,0.000900213908067979,0.0016672274524328,0.0346708424934293,0,0,0,0.01797,0.00838,46401,173,"recalibration done, but temperature values not used",29.1714400835073,not extracted,0, , , , , , , , , , , , , , 
