filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_checksumfail_min,filehealth_niblockid_min,filehealth_fbias0510_min,filehealth_fbias1020_min,filehealth_fbias2030_min,filehealth_fbias30_min,filehealth_totimp_N,filehealth_checksumfail_N,filehealth_niblockid_N,filehealth_fbias0510_N,filehealth_fbias1020_N,filehealth_fbias2030_N,filehealth_fbias30_N
Lup001 back pre.cwa,FALSE,FALSE,TRUE,1.00231371415679,0.99678464028083,1.02113903277499,-0.00194789331876046,0.0119646505201453,0.0174855292402422,0.000453147103713996,0.000930419603062586,-0.00212790026985009,0.01175,0.00282,43198,199,"recalibration done, no problems detected",30.4198469920545,not extracted,0, , , , , , , , , , , , , , 
Lup002 back pre.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.01727, ,16569,85,recalibration not done because not enough points on all sides of the sphere,31.135702359882,not extracted,0, , , , , , , , , , , , , , 
Lup003 back pre (1).cwa,FALSE,FALSE,TRUE,1.00066987201334,0.998521682276228,1.05491430444791,0.0258439420045166,0.0144418233708103,0.0622062377412716,0.000430847558744405,0.00148626961844624,0.0021639329474287,0.04404,0.00444,44176,170,"recalibration done, no problems detected",29.2691094989562,not extracted,0,0,0,0.346277781327566,,,,,0,0,18,,,,
Lup004 pre back.cwa,FALSE,FALSE,FALSE,1.01131315669512,1.01201965602929,1.03318001203498,-0.000513410576311822,0.00953273267070303,0.0109002388566959,0,0,0,0.03066,0.0086,41566,172,"recalibration done, but temperature values not used",26.5074208768267,not extracted,0, , , , , , , , , , , , , , 
Lup005 back pre.cwa,FALSE,FALSE,TRUE,1.00972248952143,0.980977837395346,1.02930259216473,-0.00319444831016004,0.014311606433261,0.0256066401638273,-0.000433026196136591,0.00311883424293342,-0.00360192860882186,0.0189,0.00288,39952,172,"recalibration done, no problems detected",28.1389725469729,not extracted,0, , , , , , , , , , , , , , 
Lup006 pre back(2).cwa,FALSE,FALSE,TRUE,0.99551382404443,0.987198291329319,1.02495121514543,-0.0208968873829064,0.0293687186813415,0.0149136591216925,0.0016582493249094,0.00216796896354092,-0.00256339957383758,0.02915,0.00365,46789,172,"recalibration done, no problems detected",29.7406247496423,not extracted,0, , , , , , , , , , , , , , 
Lup007 back pre.cwa,FALSE,FALSE,TRUE,0.998064153290708,1.01051222145108,1.00077152965026,0.00681422685145754,0.00860288031315582,0.045071862039379,0.00112057623680666,0.00208490629905819,-0.000657172629500176,0.03887,0.0035,42796,170,"recalibration done, no problems detected",28.2184387265136,not extracted,0, , , , , , , , , , , , , , 
Lup008 back pre.cwa,FALSE,FALSE,TRUE,0.980572449574885,1.010759355528,1.00796884475504,0.00516445616773324,-0.00111040835821633,0.0243581921758167,-0.000229940331932498,-7.35975907872513e-05,0.00231736465317954,0.02552,0.00518,42209,169,"recalibration done, no problems detected",27.5068655532359,not extracted,0,0,0,0.10603993733724,,,,,0,0,5,,,,
Lup009 back pre.cwa,FALSE,FALSE,TRUE,0.996409945293323,0.998307015225205,1.01368820484825,-0.000308600537067671,0.00818999634427467,0.0139724771901881,-0.000276057273121348,0.00134073134843753,-0.00258820576968876,0.02085,0.0028,45471,172,"recalibration done, no problems detected",29.1380528818444,not extracted,0, , , , , , , , , , , , , , 
Lup010 back pre.cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.02906, ,65276,239,recalibration not done because not enough points on all sides of the sphere,28.1581111691023,not extracted,0, , , , , , , , , , , , , , 
Lup011 back pre.cwa,FALSE,FALSE,TRUE,1.02670271480713,1.0043672541238,1.02583179474246,0.00513061327499351,-0.025060392191288,0.0275654102897385,-4.7978210303704e-05,0.000642714019296631,0.00116032362713448,0.02962,0.00527,46498,172,"recalibration done, no problems detected",27.6153155532359,not extracted,0, , , , , , , , , , , , , , 
Lup012 back pre.cwa,FALSE,FALSE,TRUE,0.992276294750889,1.00301450099501,1.00850411887236,0.000350978928331144,0.0086471837558684,0.049260662183624,0.000858681501465921,0.00177710738189746,-0.000610360309633505,0.04308,0.00285,41649,169.997222222222,"recalibration done, no problems detected",26.6090422755741,not extracted,0, , , , , , , , , , , , , , 
Lup013 back Pre.cwa,FALSE,FALSE,TRUE,0.989691560678095,1.00788921152658,1.0203816413058,0.00454046927291036,0.014092638515985,0.021180296208756,0.000466553471619609,0.00138268164378881,0.000236985522118677,0.02163,0.00417,48416,169,"recalibration done, no problems detected",28.5694365555556,not extracted,0,0,0,86.4408276955287,,,,,0,0,4101,,,,
Lup014 back pre.cwa,FALSE,FALSE,TRUE,0.996414527338031,1.00236116100551,1.02021290461798,0.00163766706198693,0.0324192081131274,-0.00284007150845403,-0.000132322328887659,0.00215093250748283,-0.00152149797108949,0.02253,0.00539,37072,168.944444444444,"recalibration done, no problems detected",27.6411998960499,not extracted,0,60.0396678646406,0,60.0396678646406,,,,,2,0,2,,,,
