filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_checksumfail_min,filehealth_niblockid_min,filehealth_fbias0510_min,filehealth_fbias1020_min,filehealth_fbias2030_min,filehealth_fbias30_min,filehealth_totimp_N,filehealth_checksumfail_N,filehealth_niblockid_N,filehealth_fbias0510_N,filehealth_fbias1020_N,filehealth_fbias2030_N,filehealth_fbias30_N
Lup001 thigh pre.cwa,FALSE,FALSE,TRUE,1.0000762390648,0.991144488226584,1.01616758193953,-0.0118076802976277,-0.00369344092985449,0.0214630373743843,-0.0010578201620253,-0.000567328810126392,-0.00117469579627077,0.01669,0.0026,20040,126,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",33.3836491053678,not extracted,0, , , , , , , , , , , , , , 
Lup002 Thigh Pre.cwa,FALSE,FALSE,TRUE,0.99042477037883,1.02319397388153,1.01719548454308,0.00521600161527027,-0.00338924938158528,0.0730741381666317,0.000117681657230021,-0.000985165267270878,-0.00117124966015884,0.05335,0.00523,42790,171,"recalibration done, no problems detected",27.9251528183716,not extracted,0, , , , , , , , , , , , , , 
Lup003 thigh pre (1).cwa,FALSE,FALSE,TRUE,0.997307515925077,1.0056780728953,1.01971187046204,0.0046463503192165,0.00600369637747602,0.0546612157806665,0.000665233485747162,-0.00054268351585313,-0.000630114800337102,0.02207,0.00246,43580,169,"recalibration done, no problems detected",28.1053002773925,not extracted,0,0,0,0.106087752183278,,,,,0,0,5,,,,
Lup004 pre thigh.cwa,FALSE,FALSE,FALSE,1.00872493101838,1.01448174741208,0.974808048283821,-0.00312570604068055,0.00942480840878268,-0.029750956428182,0,0,0,0.0137,0.01081,69787,239,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",26.4858467640919,not extracted,0, , , , , , , , , , , , , , 
Lup005 thigh pre.cwa,FALSE,FALSE,TRUE,1.0246297761176,1.01701544679473,1.02105713505571,0.004351818408376,0.0220797539731885,-0.0294311937895347,3.82628638453708e-05,0.00529514727614774,-0.00354037429393633,0.02924,0.0045,41112,172,"recalibration done, no problems detected",28.6697275574113,not extracted,0, , , , , , , , , , , , , , 
Lup006 pre thigh.cwa,FALSE,FALSE,TRUE,1.01641855180357,1.01476870900824,1.02272341725015,0.0224156687046947,0.0406582931248228,-0.0261268919199967,-0.00249288888409237,0.00272064333560802,-0.00327018000943352,0.04283,0.00339,44705,172,"recalibration done, no problems detected",30.5469853658537,not extracted,0, , , , , , , , , , , , , , 
Lup007 thigh pre.cwa,FALSE,FALSE,TRUE,0.970537601333161,1.00315598700822,1.0164370696003,0.00194094859582597,0.000160075020748015,0.0207006966749825,0.000290068298945258,-0.000303781946321218,-0.00281504946291832,0.01309,0.00441,43087,171,"recalibration done, no problems detected",28.909848434238,not extracted,0, , , , , , , , , , , , , , 
Lup008 thigh pre.cwa,FALSE,FALSE,TRUE,0.983148811343428,0.994759256660942,1.01967059600517,-0.00231984385285754,0.0323064269681895,0.0252480261277039,-0.000467057132678407,-0.000588594134787415,0.000708806435301068,0.03285,0.00398,43305,170,"recalibration done, no problems detected",25.6915939267016,not extracted,0, , , , , , , , , , , , , , 
Lup009 thigh pre.cwa,FALSE,FALSE,TRUE,0.975866336640746,0.992471800316367,1.01381306166272,-0.00432182300097823,0.00130680126317204,0.0235746802913207,-0.000192942205686212,-0.00082637205008443,-0.00167495561027134,0.01974,0.00327,45189,171,"recalibration done, no problems detected",27.5796795093795,not extracted,0, , , , , , , , , , , , , , 
Lup010 thigh pre.cwa,FALSE,FALSE,TRUE,0.988583200592962,0.991927733861074,1.02833987145639,0.0065867716651618,-7.19302949664849e-05,0.028840821946196,0.0004021801012899,-0.00174387015738669,0.00349956287298917,0.02504,0.00557,41964,168.994444444444,"recalibration done, no problems detected",29.3216251565762,not extracted,0,0,0,0.0423493425051371,,,,,0,0,2,,,,
Lup011 thighpre.cwa,FALSE,FALSE,TRUE,1.01262984822892,1.00121021021588,1.01509090148859,0.00815538441063954,0.00380411069148982,0.00944636431346006,0.000659854640983843,0.000267029986669223,2.09944909441808e-05,0.0119,0.00598,44979,170,"recalibration done, no problems detected",26.9326233820459,not extracted,0, , , , , , , , , , , , , , 
